school,state,leaid,year,enrollment,freelunch,hispanic,black,asian,white,teachers,studteachratio,district,charter,title1
LYON K-8,Massachusetts,2502790,2013,142,67,34,22,18,59,13.36,10.63,boston,No,Yes
LYON K-8,Massachusetts,2502790,2014,139,56,35,24,20,50,14.8,9.39,boston,No,Yes
LYON K-8,Massachusetts,2502790,2015,137,0,37,20,16,52,16.67,8.22,boston,No,Yes
LYON K-8,Massachusetts,2502790,2016,139,0,43,22,14,50,14.5,9.59,boston,No,Yes
LYON K-8,Massachusetts,2502790,2017,131,0,43,27,13,38,18.88,6.94,boston,No,Yes
LYON UPPER 9-12,Massachusetts,2502790,2013,138,94,41,38,4,48,14.39,9.59,boston,No,Yes
LYON UPPER 9-12,Massachusetts,2502790,2014,134,77,41,38,4,46,17.04,7.86,boston,No,Yes
LYON UPPER 9-12,Massachusetts,2502790,2015,131,0,44,32,3,46,15.47,8.47,boston,No,Yes
LYON UPPER 9-12,Massachusetts,2502790,2016,126,0,43,31,8,38,14.17,8.89,boston,No,Yes
LYON UPPER 9-12,Massachusetts,2502790,2017,124,0,44,25,8,38,17.26,7.18,boston,No,Yes
MADISON PARK HIGH,Massachusetts,2502790,2013,1146,1014,560,477,16,54,111.1,10.32,boston,No,Yes
MADISON PARK HIGH,Massachusetts,2502790,2014,921,759,459,382,11,45,114.44,8.05,boston,No,Yes
MADISON PARK HIGH,Massachusetts,2502790,2015,903,0,449,387,8,31,121.06,7.46,boston,No,Yes
MADISON PARK HIGH,Massachusetts,2502790,2016,841,0,453,330,7,21,97.03,8.67,boston,No,Yes
MADISON PARK HIGH,Massachusetts,2502790,2017,859,0,494,315,11,17,100.25,8.57,boston,No,Yes
MANASSAH E BRADLEY,Massachusetts,2502790,2013,298,214,164,14,16,91,19.72,15.11,boston,No,Yes
MANASSAH E BRADLEY,Massachusetts,2502790,2014,310,195,172,10,13,98,22.04,14.07,boston,No,Yes
MANASSAH E BRADLEY,Massachusetts,2502790,2015,309,0,175,14,15,90,23.04,13.41,boston,No,Yes
MANASSAH E BRADLEY,Massachusetts,2502790,2016,286,0,157,14,18,87,17.66,16.19,boston,No,Yes
MANASSAH E BRADLEY,Massachusetts,2502790,2017,295,0,154,12,19,102,21.78,13.54,boston,No,Yes
MARGARITA MUNIZ ACADEMY,Massachusetts,2502790,2013,156,136,137,12,1,4,14.4,10.83,boston,No,Yes
MARGARITA MUNIZ ACADEMY,Massachusetts,2502790,2014,229,186,207,14,1,3,22.66,10.11,boston,No,Yes
MARGARITA MUNIZ ACADEMY,Massachusetts,2502790,2015,302,0,276,18,1,4,21.96,13.75,boston,No,Yes
MARGARITA MUNIZ ACADEMY,Massachusetts,2502790,2016,284,0,265,12,0,4,24.67,11.51,boston,No,Yes
MARGARITA MUNIZ ACADEMY,Massachusetts,2502790,2017,298,0,287,7,0,3,27.94,10.67,boston,No,Yes
MARIO UMANA ACADEMY,Massachusetts,2502790,2013,730,587,564,53,16,86,58.19,12.55,boston,No,Yes
MARIO UMANA ACADEMY,Massachusetts,2502790,2014,780,586,621,55,18,76,56.22,13.87,boston,No,Yes
MARIO UMANA ACADEMY,Massachusetts,2502790,2015,837,0,705,41,18,64,57.63,14.52,boston,No,Yes
MARIO UMANA ACADEMY,Massachusetts,2502790,2016,922,0,791,33,17,72,61.68,14.95,boston,No,Yes
MARIO UMANA ACADEMY,Massachusetts,2502790,2017,1004,0,876,32,23,66,74.42,13.49,boston,No,Yes
MATHER,Massachusetts,2502790,2013,599,488,126,226,188,29,36.93,16.22,boston,No,Yes
MATHER,Massachusetts,2502790,2014,599,441,116,231,189,30,36.51,16.41,boston,No,Yes
MATHER,Massachusetts,2502790,2015,601,0,114,218,200,32,31.88,18.85,boston,No,Yes
MATHER,Massachusetts,2502790,2016,617,0,111,233,193,41,36.94,16.7,boston,No,Yes
MATHER,Massachusetts,2502790,2017,608,0,99,235,198,36,40.77,14.91,boston,No,Yes
MATTAHUNT,Massachusetts,2502790,2013,633,509,150,452,1,12,49.88,12.69,boston,No,Yes
MATTAHUNT,Massachusetts,2502790,2014,635,488,153,447,1,13,46.17,13.75,boston,No,Yes
MATTAHUNT,Massachusetts,2502790,2015,616,0,154,431,0,16,44.89,13.72,boston,No,Yes
MATTAHUNT,Massachusetts,2502790,2016,634,0,150,453,1,14,44.4,14.28,boston,No,Yes
MATTAPAN EARLY ELEMENTARY SCHOOL,MASSACHUSETTS,2502790,2017,290,0,76,189,1,17,–,†,boston,No,Yes
MAURICE J TOBIN,Massachusetts,2502790,2013,418,371,296,101,6,6,29.66,14.09,boston,No,Yes
MAURICE J TOBIN,Massachusetts,2502790,2014,438,353,291,130,4,3,27.02,16.21,boston,No,Yes
MAURICE J TOBIN,Massachusetts,2502790,2015,453,0,288,141,3,11,25.83,17.54,boston,No,Yes
MAURICE J TOBIN,Massachusetts,2502790,2016,465,0,296,148,1,9,34.42,13.51,boston,No,Yes
MAURICE J TOBIN,Massachusetts,2502790,2017,429,0,262,139,5,10,33.32,12.88,boston,No,Yes
MICHAEL J PERKINS,Massachusetts,2502790,2013,248,216,87,109,11,29,14.12,17.56,boston,No,Yes
MICHAEL J PERKINS,Massachusetts,2502790,2014,237,196,82,108,8,28,14.88,15.93,boston,No,Yes
MICHAEL J PERKINS,Massachusetts,2502790,2015,230,0,92,98,6,22,13.02,17.67,boston,No,Yes
MICHAEL J PERKINS,Massachusetts,2502790,2016,238,0,92,102,5,27,12.91,18.44,boston,No,Yes
MICHAEL J PERKINS,Massachusetts,2502790,2017,218,0,87,93,6,21,15.13,14.41,boston,No,Yes
MILDRED AVENUE K-8,Massachusetts,2502790,2013,444,375,96,327,4,9,34.62,12.82,boston,No,Yes
MILDRED AVENUE K-8,Massachusetts,2502790,2014,382,293,88,269,9,6,36.28,10.53,boston,No,Yes
MILDRED AVENUE K-8,Massachusetts,2502790,2015,421,0,106,291,6,7,35.1,11.99,boston,No,Yes
MILDRED AVENUE K-8,Massachusetts,2502790,2016,505,0,134,335,6,11,36.95,13.67,boston,No,Yes
MILDRED AVENUE K-8,Massachusetts,2502790,2017,550,0,142,371,5,11,42.94,12.81,boston,No,Yes
MISSION HILL SCHOOL,Massachusetts,2502790,2013,234,128,94,59,3,63,13,18,boston,No,Yes
MISSION HILL SCHOOL,Massachusetts,2502790,2014,232,124,96,53,1,67,11.92,19.46,boston,No,Yes
MISSION HILL SCHOOL,Massachusetts,2502790,2015,227,0,90,53,1,68,9.94,22.84,boston,No,Yes
MISSION HILL SCHOOL,Massachusetts,2502790,2016,217,0,85,45,1,69,16.97,12.79,boston,No,Yes
MISSION HILL SCHOOL,Massachusetts,2502790,2017,241,0,86,56,2,82,18.46,13.06,boston,No,Yes
